1; prendere(2, uova, frigo)
2; [aprire(2, uova), aggiungere(uova, ciotola)]
3; aggiungere(latte, ciotola)
4; aggiungere(pizzico, sale, *[ingredienti]*)
5; mettere(padella, fornello)
6; mescolare(uova)
7; aggiungere(olio, padella)
8; aggiungere(composto, padella)
9; girare(frittata)
10; togliere(padella,fuoco)
---
11; mettere(lievito, ciotola)
12; aggiungere(acqua, ciotola)
13; mescolare(lievito)
14; aggiungere(farina, ciotola)
15; aggiungere(zucchero, farina)
16; aggiungere(un po', sale, *[ingredienti]*)
17; aggiungere(acqua, ciotola), mescolare(*[ingredienti]*)
18; mescolare(tutto, con forza)
19; aggiungere(lievito, ciotola)
20; mescolare(tutto)
21; coprire(ciotola, pellicola)
23; separare(pistillo, fiori di zucca)
24; [prendere(un, uovo), aprire(uovo), aggiungere(tuorlo, ciotola)]
25; aggiungere(farina, *tuorlo*)
26; aggiungere(acqua, ciotola)
27; scoprire(ciotola)
28; aggiungere(fiori di zucca, pastella)
29; controllare(olio)
30; aggiungere(fiori di zucca, olio)
31; separare(fiori di zucca, padella)
32; aggiungere(un po', sale, *fiori di zucca*)
33; aggiungere(fiori di zucca, ciotola)
34; aggiungere(fiori di zucca, olio)
35; separare(fiori di zucca, padella)
36; aggiungere(un po', sale, *fiori di zucca*)
---
37; aggiungere(panna, pentolino)
38; cuocere(*panna*, fuoco basso, 10 minuti)
39; sbucciare(patate)
40; schiacciare(patate)
41; [mettere(patate, padella), cuocere(*patate*, fuoco basso)]
42; [separare(patate, padella), passare(patate)]
43; aggiungere(sale, *patate*)
44; impastare(patate)
45; aggiungere(panna, casseruola)
46; aggiungere(patate, casseruola)
47; aggiungere(crème fraîche, *casseruola*)
48; grattare(un po', noce moscata, casseruola)
49; aggiungere(composto, formine)
50; aggiungere(olio, *formine*)